switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
6,8,12,4,2,60,2.818181818,24.3,58.15,8.75,355,60.83,55.72,8.75,360,58.34
6,8,12,4,5,60,2.818181818,36.3,43.99,6.54,350,59.24,41.65,6.43,347,55.94
6,8,12,16,2,60,2.818181818,47.5,44.27,6.56,322,58.41,56.36,9.88,364,94.05
6,8,12,16,5,60,2.818181818,97.9,27.51,3.86,322,55.59,51.35,10.69,453,113.6
6,8,24,8,2,72,2.739130435,31.8,75.91,11.6,652,110.08,70.88,11.05,654,106.52
6,8,24,8,5,72,2.739130435,56.5,49.84,7.49,762,130.08,47.31,7.19,761,124.13
6,8,24,32,2,72,2.739130435,81.7,46.27,6.79,665,114.16,67.21,12.74,665,109.19
6,8,24,32,5,72,2.739130435,176.9,29.79,4.28,706,120.75,51.04,10.33,713,141.46
6,8,48,16,2,96,2.70212766,47.7,83,12.85,852,146.39,74.72,11.45,924,151.5
6,8,48,16,5,96,2.70212766,97.3,48.68,7.37,728,125.45,64.91,11.88,725,120.22
4,8,8,16,5,40,4.428571429,97.5,80.55,15.67,1742,289.1,99.04,19.15,4070,657.09
4,8,32,16,5,64,4.096774194,97.5,94.39,17.19,1746,287.14,105.48,19.13,3865,624.5
8,16,16,4,2,144,4.733333333,109.8,214.88,36.85,12163,2110.1,250.96,41.32,14972,2456.99
8,16,16,4,2,144,4.733333333,111,109.36,18.83,1061,179.5,122.21,20.42,1533,250.92
8,16,16,4,5,144,4.733333333,118.7,111.25,18.96,1798,312.38,125.46,20.69,2408,394.6
8,16,16,16,2,144,4.733333333,125.2,96.98,15.75,1501,247.71,101.66,16.56,1550,249.39
8,16,16,16,5,144,4.733333333,135.9,100.09,17.37,1410,230.79,104.07,17.77,1485,241.94
8,16,64,16,2,192,4.555555556,181,85.25,13.41,1720,275.89,82.15,12.51,1674,255.02
8,16,64,16,5,192,4.555555556,194.1,96.13,15.75,1796,288.12,92.23,14.31,1766,269.24
12,16,24,4,2,216,2.913043478,24,129.21,19.13,843,121.53,117.25,18.36,626,129.98
12,16,24,4,5,216,2.913043478,35.7,101.93,15.1,848,122.37,93.78,14.48,630,129.93
12,16,24,16,2,216,2.913043478,48.3,97.6,14.28,847,122.2,87.02,13.02,633,130.41
12,16,24,16,5,216,2.913043478,96,68.99,9.92,842,121.36,72.39,11.43,672,130.03
12,16,48,8,2,240,2.872340426,33.4,160.93,24.75,1524,243.89,171.71,29.02,1460,222.73
12,16,48,8,5,240,2.872340426,59,108.69,16.36,1664,266.23,98.61,14.87,1584,242.84
12,16,48,32,2,240,2.872340426,81.8,101.99,15.19,1608,257.3,101.59,16,1552,235.97
12,16,48,32,5,240,2.872340426,179.1,75.04,11.17,1630,260.71,76.15,12,1577,239.13
12,16,96,16,2,288,2.852631579,50.6,180.51,27.98,1659,266.22,162.94,24.66,1652,248.45
12,16,96,16,5,288,2.852631579,98.7,109.44,16.65,1876,313.34,110.82,17.76,1876,282.13
1,0,5,11,10,5,1,123.8,3.09,0.44,127,17.85,1.15,0.15,17,3.45
2,60,12,12,9,73,62,130.5,158.74,21.86,9073,1317.44,69.35,9.08,496,90.56
2,25,20,71,2,46,27,161.6,261.06,36.31,19099,2591.4,52.48,7.41,979,161.28
2,1,16,33,4,18,3,146.3,19.77,3,1314,183.41,6.38,0.92,102,16.73
2,15,14,10,0,30,17,15.3,280.98,40.88,2033,275.6,115.42,18.21,497,80.92
2,46,18,11,2,65,48,43.2,293.38,43.4,5663,851,118.66,17.79,591,105.35
1,0,10,12,3,10,1,49.7,7.75,1.2,40,6.16,3.28,0.5,28,5.49
4,3,40,55,6,46,3.56,346.7,28.21,4.47,1506,202.71,13.5,1.88,552,90.2
2,27,20,29,8,48,29,250.5,91.66,13.07,10083,1499.4,37.19,4.87,803,136.65
1,0,10,56,2,10,1,126.5,9.9,1.42,576,77.63,2.6,0.38,23,4.69
32,31,128,5,0,190,9.13,30.4,621.55,101.55,4926,817.54,588.85,88.81,4820,726.34
2,55,18,20,2,74,57,62.6,357.2,54.26,11177,1810.52,117.12,16.72,632,101.59
4,3,36,28,3,42,3.57,100.5,48.83,8.05,722,97.85,27.21,4.1,469,76.96
1,0,10,15,0,10,1,13.9,22.66,3.37,97,14.88,9.14,1.47,44,6.62
2,41,10,25,5,52,43,145.6,176.3,24.29,13179,1841.31,51.17,6.78,695,115.26
16,15,144,68,7,174,7.17,508.3,113.9,18.84,2755,429.56,78.22,11.08,2445,370.71
2,9,14,3,2,24,11,21.1,84.17,13.17,490,71.8,53.98,8.64,343,55.87
2,7,16,60,1,24,9,75.8,131.9,20.72,3641,584.2,29.8,4.45,333,53.93
2,1,20,19,7,22,2.05,147.7,12.67,2.11,380,60.35,6.24,0.9,128,20.77
1,0,7,7,7,7,1,62.5,4.77,0.72,32,4.83,2,0.3,19,3.88
2,5,10,10,5,16,7,64.8,32.89,4.84,864,123.61,14.85,2.19,189,30.75
2,0,16,33,7,17,2,245.6,9.71,1.57,859,135.97,3.1,0.43,74,13.9
1,0,10,37,5,10,1,199.2,5.76,0.83,344,46.36,1.61,0.22,27,4.41
8,7,56,13,5,70,5.33,82.5,99.6,16.39,1692,287.79,82.35,12.58,1692,276.98
32,31,320,32,6,382,9.09,234.5,508.75,93.67,11391,1921.3,449.31,67.36,11446,1769.02
4,3,40,57,7,46,3.56,416.5,26.23,4.1,2162,293.62,12.01,1.66,533,87.61
2,1,18,56,9,20,2.06,518.9,9.4,1.38,1553,210.63,3.3,0.42,123,20.04
2,45,16,52,2,62,47,126.2,391.56,55.87,28244,4012.11,81.97,11.2,1084,182.95
16,15,48,7,8,78,7.26,74.2,157.95,25,2431,416.4,142.13,21.5,2566,420.94
